"species","class","order","family","source"
"Ameivula abaetensis","Reptilia","Squamata","Teiidae","faunabr"
"Cerradomys maracajuensis","Mammalia","Rodentia","Cricetidae","faunabr"
"Callicebus pallescens","Mammalia","Primates","Pitheciidae","faunabr"
"Oligoryzomys rupestris","Mammalia","Rodentia","Cricetidae","faunabr"
"Leptodactylus viridis","Amphibia","Anura","Leptodactylidae","faunabr"
"Mico melanurus","Mammalia","Primates","Cebidae","faunabr"
"Rhipidomys emiliae","Mammalia","Rodentia","Cricetidae","faunabr"
"Marmosops ocellatus","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Amphisbaena bedai","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Phalotris concolor","Reptilia","Squamata","Dipsadidae","faunabr"
"Psomophis obtusus","Reptilia","Squamata","Dipsadidae","faunabr"
"Coendou prehensilis","Mammalia","Rodentia","Erethizontidae","faunabr"
"Lionycteris spurrelli","Mammalia","Chiroptera","Phyllostomidae","faunabr"
"Euryoryzomys lamia","Mammalia","Rodentia","Cricetidae","faunabr"
"Amphisbaena maranhensis","Reptilia","Squamata","Amphisbaenidae","faunabr"
"Cyclopes didactylus","Mammalia","Pilosa","Cyclopedidae","faunabr"
"Deltamys kempi","Mammalia","Rodentia","Cricetidae","faunabr"
"Sapajus xanthosternos","Mammalia","Primates","Cebidae","faunabr"
"Marmosa paraguayana","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Leptodactylus mystaceus","Amphibia","Anura","Leptodactylidae","faunabr"
"Siphlophis pulcher","Reptilia","Squamata","Dipsadidae","faunabr"
"Hylaeamys yunganus","Mammalia","Rodentia","Cricetidae","faunabr"
"Calomys callosus","Mammalia","Rodentia","Cricetidae","faunabr"
"Philander opossum","Mammalia","Didelphimorphia","Didelphidae","faunabr"
"Trinomys setosus","Mammalia","Rodentia","Echimyidae","faunabr"
"Dermochelys coriacea","Reptilia","Testudines","Dermochelyidae","faunabr"
"Callicebus nigrifrons","Mammalia","Primates","Pitheciidae","faunabr"
"Paleosuchus palpebrosus","Reptilia","Crocodylia","Alligatoridae","faunabr"
"Oecomys cleberi","Mammalia","Rodentia","Cricetidae","faunabr"
"Leptodactylus cupreus","Amphibia","Anura","Leptodactylidae","faunabr"
"Siphlophis leucocephalus","Reptilia","Squamata","Dipsadidae","faunabr"
"Makalata didelphoides","Mammalia","Rodentia","Echimyidae","faunabr"
"Thamnodynastes rutilus","Reptilia","Squamata","Dipsadidae","faunabr"
"Gastrotheca flamma","Amphibia","Anura","Hemiphractidae","faunabr"
"Trinomys yonenagae","Mammalia","Rodentia","Echimyidae","faunabr"
"Amphisbaena dubia","Reptilia","Squamata","Amphisbaenidae","faunabr"
